
REPORT DATE,12/19/13 18:35 EST
FILE SIZES TESTED (MB),500
BLOCK SIZES TESTED (KB),2048
DD READ FLAGS SET,NONE
DD WRITE FLAGS SET,NONE
NFS MOUNT OPTIONS SET,rw sync nfsvers=4 port=6111 proto=tcp retrans=2 retry=2 bg hard rsize=32768 wsize=32768 bsize=32768 sharecache mountproto=tcp sec=sys addr=129.74.246.249 clientaddr=162.242.168.146
KERNEL TUNING SET,YES

START,STOP,RUNTIME,SOURCE,DEST,FILE (MB),BLOCK (KB),DIRECTION,SPEED (MB/s),SPEED (Mbps)
,,,,,,,RESULT # 16,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:04:48,19:04:58,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.9,423.2
19:04:51,19:05:06,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.8,278.4
00:05:17,00:05:37,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.5,220.0
,,,,,,,RESULT # 17,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:06:07,19:06:17,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.0,416.0
19:06:09,19:06:27,18,jtg-test3,129.74.246.249,500,2048,WRITE,28.7,229.6
00:06:36,00:06:56,20,jtg-test1,129.74.246.249,500,2048,WRITE,25.4,203.2
,,,,,,,RESULT # 18,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:07:26,19:07:37,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.5,412.0
19:07:29,19:07:40,11,jtg-test3,129.74.246.249,500,2048,WRITE,48.3,386.4
00:07:56,00:08:16,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.1,208.8
,,,,,,,RESULT # 19,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:08:46,19:08:57,11,jtg-test4,129.74.246.249,500,2048,WRITE,49.7,397.6
19:08:48,19:09:00,12,jtg-test3,129.74.246.249,500,2048,WRITE,44.8,358.4
00:09:16,00:09:34,18,jtg-test1,129.74.246.249,500,2048,WRITE,28.7,229.6
,,,,,,,RESULT # 20,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:10:04,19:10:15,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.0,408.0
19:10:07,19:10:25,18,jtg-test3,129.74.246.249,500,2048,WRITE,29.3,234.4
00:10:34,00:10:51,17,jtg-test1,129.74.246.249,500,2048,WRITE,29.9,239.2
,,,,,,,RESULT # 21,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:11:21,19:11:32,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.4,411.2
19:11:24,19:11:34,10,jtg-test3,129.74.246.249,500,2048,WRITE,51.5,412.0
00:11:51,00:12:10,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.8,222.4
,,,,,,,RESULT # 22,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:12:40,19:12:51,11,jtg-test4,129.74.246.249,500,2048,WRITE,47.7,381.6
19:12:42,19:12:57,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.6,276.8
00:13:10,00:13:29,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.7,221.6
,,,,,,,RESULT # 23,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:14:00,19:14:14,15,jtg-test4,129.74.246.249,500,2048,WRITE,37.6,300.8
19:14:02,19:14:23,21,jtg-test3,129.74.246.249,500,2048,WRITE,24.9,199.2
00:14:32,00:14:51,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.9,231.2
,,,,,,,RESULT # 24,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:15:21,19:15:31,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.3,426.4
19:15:23,19:15:41,18,jtg-test3,129.74.246.249,500,2048,WRITE,30.8,246.4
00:15:50,00:16:09,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.2,217.6
,,,,,,,RESULT # 25,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:16:39,19:16:50,11,jtg-test4,129.74.246.249,500,2048,WRITE,47.3,378.4
19:16:41,19:16:58,17,jtg-test3,129.74.246.249,500,2048,WRITE,32.5,260.0
00:17:09,00:17:29,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.4,211.2
,,,,,,,RESULT # 26,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:17:59,19:18:10,11,jtg-test4,129.74.246.249,500,2048,WRITE,51.9,415.2
19:18:02,19:18:14,12,jtg-test3,129.74.246.249,500,2048,WRITE,41.7,333.6
00:18:29,00:18:48,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.0,216.0
,,,,,,,RESULT # 27,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:19:18,19:19:28,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.5,444.0
19:19:20,19:19:38,18,jtg-test3,129.74.246.249,500,2048,WRITE,30.0,240.0
00:19:47,00:20:06,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.6,220.8
,,,,,,,RESULT # 28,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:20:36,19:20:46,10,jtg-test4,129.74.246.249,500,2048,WRITE,53.2,425.6
19:20:38,19:20:59,21,jtg-test3,129.74.246.249,500,2048,WRITE,25.0,200.0
00:21:05,00:21:24,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.6,220.8
,,,,,,,RESULT # 29,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:21:54,19:22:05,11,jtg-test4,129.74.246.249,500,2048,WRITE,45.4,363.2
19:21:56,19:22:09,13,jtg-test3,129.74.246.249,500,2048,WRITE,42.0,336.0
00:22:25,00:22:44,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.4,227.2
,,,,,,,RESULT # 30,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:23:14,19:23:24,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.3,410.4
19:23:16,19:23:29,13,jtg-test3,129.74.246.249,500,2048,WRITE,38.7,309.6
00:23:44,00:24:04,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.0,216.0
,,,,,,,RESULT # 31,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:24:34,19:24:44,10,jtg-test4,129.74.246.249,500,2048,WRITE,52.0,416.0
19:24:36,19:24:48,12,jtg-test3,129.74.246.249,500,2048,WRITE,41.8,334.4
00:25:04,00:25:23,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.1,224.8
,,,,,,,RESULT # 32,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:25:53,19:26:04,11,jtg-test4,129.74.246.249,500,2048,WRITE,48.5,388.0
19:25:55,19:26:10,15,jtg-test3,129.74.246.249,500,2048,WRITE,36.2,289.6
00:26:23,00:26:43,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.0,208.0
,,,,,,,RESULT # 33,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:27:13,19:27:23,10,jtg-test4,129.74.246.249,500,2048,WRITE,51.3,410.4
19:27:16,19:27:31,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.6,276.8
00:27:43,00:28:03,20,jtg-test1,129.74.246.249,500,2048,WRITE,25.5,204.0
,,,,,,,RESULT # 34,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:28:33,19:28:44,11,jtg-test4,129.74.246.249,500,2048,WRITE,49.0,392.0
19:28:36,19:28:48,12,jtg-test3,129.74.246.249,500,2048,WRITE,41.0,328.0
00:29:03,00:29:22,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.0,224.0
,,,,,,,RESULT # 35,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:29:52,19:30:04,12,jtg-test4,129.74.246.249,500,2048,WRITE,46.4,371.2
19:29:54,19:30:11,17,jtg-test3,129.74.246.249,500,2048,WRITE,32.3,258.4
00:30:23,00:30:42,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.3,218.4
,,,,,,,RESULT # 36,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:31:12,19:31:23,11,jtg-test4,129.74.246.249,500,2048,WRITE,50.1,400.8
19:31:14,19:31:34,20,jtg-test3,129.74.246.249,500,2048,WRITE,26.8,214.4
00:31:41,00:32:01,20,jtg-test1,129.74.246.249,500,2048,WRITE,26.7,213.6
,,,,,,,RESULT # 37,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:32:34,19:32:42,8,jtg-test3,129.74.246.249,500,2048,WRITE,61.5,492.0
19:32:31,19:32:48,17,jtg-test4,129.74.246.249,500,2048,WRITE,30.8,246.4
00:33:07,00:33:26,19,jtg-test1,129.74.246.249,500,2048,WRITE,28.6,228.8
,,,,,,,RESULT # 38,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:33:56,19:34:05,9,jtg-test4,129.74.246.249,500,2048,WRITE,54.7,437.6
19:33:58,19:34:13,15,jtg-test3,129.74.246.249,500,2048,WRITE,34.8,278.4
00:34:25,00:34:44,19,jtg-test1,129.74.246.249,500,2048,WRITE,27.3,218.4
,,,,,,,RESULT # 39,"=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))","=SUM((INDIRECT(ADDRESS(ROW()-1,COLUMN()))),(INDIRECT(ADDRESS(ROW()-3,COLUMN()))))"

19:35:14,19:35:24,10,jtg-test4,129.74.246.249,500,2048,WRITE,55.6,444.8
19:35:17,19:35:36,19,jtg-test3,129.74.246.249,500,2048,WRITE,28.0,224.0
00:35:42,00:36:02,20,jtg-test1,129.74.246.249,500,2048,WRITE,27.3,218.4
